source,target,tgt_lng
禿鷹,禿鷹,zh-TW
ハゲタカ,禿鷹,zh-TW
ピッケル,鐵鍬,zh-TW
ツルハシ,鐵鍬,zh-TW
カエル,青蛙,zh-TW
バカエル,笨青蛙,zh-TW
目力,眼力,zh-TW
隔て刃,隔刃,zh-TW
安さ,便宜程度,zh-TW
フェアカス,雜碎妖精,zh-TW
デビュー,出道,zh-TW
ムジナ,貉,zh-TW
ベルセルク・オンライン,狂暴online,zh-TW
イアイフィスト流,居和拳流,zh-TW
覆面海パン,蒙面海灘褲,zh-TW
モドルカッツォ,回歸柴魚,zh-TW
マスク,面罩,zh-TW
ミーア,米雅,zh-TW
山本礼司,山本禮司,zh-TW
レイジ,怜司,zh-TW
スリップ,滑動,zh-TW
オワタ,完蛋,zh-TW
リスポーン,重生,zh-TW
セカンディル,瑟坎迪爾,zh-TW
ビギナー,初學者,zh-TW
ニュービー,新兵,zh-TW
ルーキー,菜鳥,zh-TW
ノービス,新手,zh-TW
手数,手段,zh-TW
さん,さん,zh-TW
敵MOB,雜魚怪,zh-TW
リーナ,莉娜,zh-TW
カッホ,卡荷,zh-TW
ソーマ,索馬,zh-TW
ハンラトリアタマ,性騷擾鳥頭人,zh-TW
オーク,半獸人,zh-TW
アルミラージ,一角兔,zh-TW
フラッシュカウンター,反擊斬,zh-TW
タップステップ,墊步,zh-TW
ナックルラッシュ,猛攻拳,zh-TW
スクーピアス,快擊,zh-TW
致命の包丁,致命菜刀,zh-TW
ヴォーパルバニー,斬首兔,zh-TW
白金,白金,zh-TW
ファステイア,法斯提亞,zh-TW
スリリング・ファーム,刺激・農場,zh-TW
器用,靈巧,zh-TW
マーニ,塊錢(money),zh-TW
彷徨う者,徘徊者,zh-TW
彷徨える傭兵,徘徊的傭兵,zh-TW
サンラク,桑樂,zh-TW
クソゲー,糞作,zh-TW
変質者,變態,zh-TW
VRゲーマー,VR玩家,zh-TW
ユナイト・ラウンズ,Unite Rounds,zh-TW
ロックロール,洛克羅爾電玩專賣店,zh-TW
岩巻真奈,岩卷真奈,zh-TW
陽務楽郎,陽務樂郎,zh-TW
岩巻,岩卷,zh-TW
シャンフロ,香格邊境,zh-TW
フェアクソ,糞妖精,zh-TW
プレイスキル,遊戲技能,zh-TW
クソゲーハンター、神ゲーに挑まんとす,糞作獵手挑戰神作,zh-TW
シャングリラ・フロンティア,香格里拉·開拓異境,zh-TW
