source,target,tgt_lng
黒髪の戦乙女,黑髮女武神,zh-TW
マッスル,麥斯爾,zh-TW
アーネ,安奈,zh-TW
ミリィ,米莉,zh-TW
オルクス,奧爾克斯,zh-TW
トルネラ,托爾內拉,zh-TW
モーリス,莫里斯,zh-TW
赤鬼,赤鬼,zh-TW
ベル,貝爾,zh-TW
オルフェン,奧爾芬,zh-TW
ヴィエナ,維艾納,zh-TW
アンジェ,安潔,zh-TW
ベンジャミン,本傑明,zh-TW
フランソワ,法蘭索瓦,zh-TW
ヴィラール,維拉爾,zh-TW
フェルナンド,費爾南多,zh-TW
リーゼロッテ,莉澤羅特,zh-TW
ギルメーニャ,基爾梅尼亞,zh-TW
ミト,米特,zh-TW
バアル,巴爾,zh-TW
シュバイツ,舒韋茨,zh-TW
ダンカン,但卡,zh-TW
ゴート,戈特,zh-TW
マルタ,瑪爾達,zh-TW
ホフマン,霍夫曼,zh-TW
バーンズ,巴恩斯,zh-TW
ケリー,凱利,zh-TW
ロゼッタ,羅賽塔,zh-TW
パーシヴァル,珀西瓦爾,zh-TW
カシム,凱西姆,zh-TW
ソロモン,所羅門,zh-TW
ユーリ,尤莉,zh-TW
マリア,瑪麗亞,zh-TW
ドルトス,多托斯,zh-TW
チェボルグ,契伯格,zh-TW
ライオネル,萊恩尼爾,zh-TW
アシュ,亞修,zh-TW
アシュクロフト,亞修克羅夫特,zh-TW
ボルドー,波爾多,zh-TW
サーシャ,莎夏,zh-TW
セレン,賽蓮,zh-TW
ヘルベチカ,赫爾薇緹卡,zh-TW
ビャク,白,zh-TW
シャルロッテ,夏綠蒂,zh-TW
グラハム,葛拉漢姆,zh-TW
マルグリット,瑪格麗特,zh-TW
サティ,薩蒂,zh-TW
ミリアム,米莉亞姆,zh-TW
アネッサ,安奈莎,zh-TW
アンジェリン,安潔琳,zh-TW
ベルグリフ,貝爾格里夫,zh-TW
