source,target,tgt_lng
ドスナジ,多斯納吉,zh-TW
ワンニャ,瓦尼亞,zh-TW
モンラシュー,蒙拉修,zh-TW
ロックデイ,洛克迪,zh-TW
ラムアタック,衝撞攻擊,zh-TW
ガレアス,加雷亞斯,zh-TW
マキャヴェッリ,馬基維利,zh-TW
ラノベ,輕小說,zh-TW
ジュシータ,朱西塔,zh-TW
ピルロ,皮爾羅,zh-TW
ロベルト,羅伯特,zh-TW
ラジャトン,拉傑頓,zh-TW
ダオ,達歐,zh-TW
特製ブレンド,特製綜合,zh-TW
化物,怪物,zh-TW
タマコ,塔瑪可,zh-TW
バシュテーク,巴舒特,zh-TW
バンデルシュ,巴德魯修,zh-TW
バンシース,巴西絲,zh-TW
バンソクス,巴索克斯,zh-TW
バンロー,巴羅,zh-TW
ニージュ,妮茱,zh-TW
ソマル,索瑪爾,zh-TW
カブイ,卡布伊,zh-TW
イリアジャ,伊莉亞潔,zh-TW
スージェー,蘇婕,zh-TW
レメンゲサス,雷門格薩斯,zh-TW
ロンク,隆克,zh-TW
ファイ,法伊,zh-TW
プリマス,普利茅斯,zh-TW
ドレーク,德瑞克,zh-TW
ベイト,餌,zh-TW
オルティス,奧爾帝斯,zh-TW
アーウィン,艾文,zh-TW
シュールズベリー,舒爾茲貝利,zh-TW
ノア,諾亞,zh-TW
コピラス,柯比拉斯,zh-TW
コマキュタ,可瑪秋塔,zh-TW
マニャミャ,馬尼亞米亞,zh-TW
バンヒュー,巴休,zh-TW
パラベラム,戰爭的準備,zh-TW
サファイヤ,藍寶石,zh-TW
カ・タ・キ・ヲ,將・敵・人,zh-TW
エウレーカ,我發現了,zh-TW
クラーケン,克拉肯,zh-TW
ウォータージェット,水噴射推進器,zh-TW
メインタンクブロー,主壓載水艙浮上,zh-TW
アイスクリエイト,冰創造,zh-TW
アンダーセン,安德森,zh-TW
ニール,尼爾,zh-TW
アイシクルランス,冰槍,zh-TW
アイスウォール,冰牆,zh-TW
リチャード,理查,zh-TW
ゲッコー,蓋克,zh-TW
ハンダルー,韓德爾,zh-TW
コナ,科納,zh-TW
インベリー,因培裏,zh-TW
デブヒ,德布希,zh-TW
ルン,盧恩,zh-TW
クローシュ,克羅什,zh-TW
マリエ,瑪麗埃,zh-TW
ハル,春,zh-TW
サッバーフ,沙巴,zh-TW
ハサン,哈桑,zh-TW
アルブルケルケ,阿爾武爾克爾克,zh-TW
ウラカ,烏菈卡,zh-TW
レオノール,蕾歐諾兒,zh-TW
ルウィン,盧溫,zh-TW
ルスカ,魯斯卡,zh-TW
オスカー,奧斯卡,zh-TW
ボルネミッサ,博內米薩,zh-TW
ルビーン,盧賓,zh-TW
フィオナ,菲歐娜,zh-TW
ルパート,魯伯特,zh-TW
ヘイワード,海沃德,zh-TW
ケネス,肯尼斯,zh-TW
シュワルツコフ,施瓦茲科夫,zh-TW
ナタリー,娜塔莉,zh-TW
ブラット,布萊德,zh-TW
クリストファー,克里斯多福,zh-TW
ベラシス,貝拉席斯,zh-TW
アーサー,亞瑟,zh-TW
バラハ,巴拉哈,zh-TW
イラリオン,希萊里昂,zh-TW
ロレンツォ,羅倫佐,zh-TW
ギデオン,基甸,zh-TW
ワイアット,懷特,zh-TW
ブレア,布萊爾,zh-TW
シェナ,雪娜,zh-TW
ハインライン,海萊恩,zh-TW
フェルプス,菲爾普斯,zh-TW
アモン,亞蒙,zh-TW
エト,艾特,zh-TW
ニルス,尼爾斯,zh-TW
ニーナ,妮娜,zh-TW
マクグラス,麥格拉斯,zh-TW
ヒュー,休,zh-TW
シューク,舒克,zh-TW
リン,琳,zh-TW
ハローム,哈洛姆,zh-TW
ウォーレン,沃倫,zh-TW
リーヒャ,麗希婭,zh-TW
ナイトレイ,奈特莉,zh-TW
ベスフォード,貝斯福德,zh-TW
アルバート,阿爾伯特,zh-TW
セーラ,瑟拉,zh-TW
ミハラ,三原,zh-TW
ロンド,羅德,zh-TW
ガーウィン,高文,zh-TW
ミカエル,米迦勒,zh-TW
デュラハン,杜拉漢,zh-TW
アベル,阿貝爾,zh-TW
リョウ,涼,zh-TW
